PLAN,ISIN,VALOR,CUPON,FEC_VTO,VC_ACTUAL,NOM,TYPEB,SECTOR,RATING,VM,CUPON_CORRIDO,CALL,TIPO_PRODUCTO,TIR_MDO,DUR,TirContable,Frecuencia,PRECIO,EMISOR,PAIS,TIPO_CUPON,SENIORITY
u101,ES0282102005,"UNIVERSIDAD DE VALENCIA  6,6%  15/12/2022",6.60,12/15/2022,"3,069,792.72","3,005,060.52",B,CAC,BB+,3420647.26,8694.09,N,40,-0.29,1.895,5.41,1.00,113.83,Universidad de Valencia,ES,Fixed excl,SENIOR SECURED
u101,DE0001142552,BUNDESREPUB. DEUTSCHLAND  0%  04/01/2022,0.00,1/4/2022,"2,880,903.65","3,000,000.00",B,A99,AAA,3022494.33,0,N,42,-0.74,1.008,4.09,0.00,100.75,Federal Republic of Germany,DE,Zero bonds,SENIOR UNSECURED
u101,IT0001247342,BUONI POLIENNALI STRIP  0%  01/11/2024,0.00,11/1/2024,"319,205.01","400,000.00",B,A99,BBB-,403309.7,0,N,42,-0.21,3.836,6.06,0.00,100.83,Italian Republic,IT,Zero bonds,SENIOR UNSECURED
u101,FR0000570996,FRANCE O.A.T. STRIP  0%  25/04/2021,0.00,4/25/2021,"5,035,102.13","5,100,000.00",B,A99,AA,5107682.74,0,N,42,-0.47,0.315,4.11,0.00,100.15,French Republic,FR,Zero bonds,SENIOR UNSECURED
u101,IT0004848435,ITALY BTPS HYBRID,0.00,11/1/2023,"477,212.70","565,000.00",B,A99,BBB-,569858.51,0,N,42,-0.30,2.833,6.14,0.00,100.86,Italian Republic,IT,Zero bonds,SENIOR UNSECURED
u102,ES0213469580,"EUROPEAN INVESTMENT BANK  8,5%  17/06/2021",8.50,6/17/2021,"2,121,700.33","2,103,542.37",B,BD9,AAA,2191560.94,96503.61,N,40,9.22,0.458,6.39,1.00,104.18,European Investment Bank,LU,Fixed excl,SENIOR UNSECURED
u102,XS0105656267,BAYER HYPO- VEREINSBANK  5%  21/12/2029,5.00,12/21/2029,"13,872,980.37","15,200,000.00",B,CCA,BB+,18985546.32,21111.11,N,40,1.96,7.746,6.30,1.00,124.90,UniCredit Bank AG,DE,Fixed excl,SUBORDINATED
u102,XS0105174352,BAYER HYPO- VEREINSBANK  9%  13/12/2024,9.00,12/13/2024,"11,989,806.78","12,000,000.00",B,CCA,BB+,15879847.44,53260.27,N,40,0.77,3.557,9.02,1.00,132.33,UniCredit Bank AG,DE,Fixed excl,SUBORDINATED
u102,XS0095166897,"STATOILHYDRO ASA  7,15%  26/03/2029",7.15,3/26/2029,"19,994,217.97","20,000,000.00",B,CAE,AA-,31908090,1096986.3,N,40,0.45,6.688,7.15,1.00,159.54,Statoil ASA,NO,Fixed excl,SENIOR UNSECURED
u102,XS0195051114,"NWBK 5,15% 06/24",5.15,6/29/2024,"59,998,306.03","60,000,000.00",B,CCA,AAA,72239100,1562166.67,N,40,0.05,3.244,5.13,1.00,120.40,Nederlandse Waterschapsbank,NL,Fixed excl,SENIOR UNSECURED
