group,t_to,l_cflow_rp
u101,0,0
u101,1,-2489.386710997
u101,2,-1079.1302546031
u101,3,-418.50621078713
u101,4,-154.59964385774
u101,5,-506.66838236771
u101,6,-231.55320527017
u101,7,-248.38910967059
u101,8,-132.77245601896
u101,9,-1.80458023564
u101,10,-102.05548160777
u101,11,-51.338041224194
u101,12,-37.923980775164
u101,13,-60.084787680743
u101,14,-1.1824033757
u101,15,-1.2982623686964
u101,16,-1.4499031751111
u101,17,-1.6363417009733
u101,18,-43.448616142024
u101,19,0
u101,20,0
u101,21,0
u101,22,0
u101,23,0
u101,24,0
u101,25,0
u101,26,0
u101,27,0
u101,28,0
u101,29,0
u101,30,0
u101,31,0
u101,32,0
u101,33,0
u101,34,0
u101,35,0
u101,36,0
u101,37,0
u101,38,0
u101,39,0
u101,40,0
u101,41,0
u101,42,0
u101,43,0
u101,44,0
u101,45,0
u101,46,0
u101,47,0
u101,48,0
u101,49,0
u101,50,0
u101,51,0
u101,52,0
u101,53,0
u101,54,0
u101,55,0
u101,56,0
u101,57,0
u101,58,0
u101,59,0
u101,60,0
u102,0,0
u102,1,-78094.564338698
u102,2,-76695.176932098
u102,3,-64192.427397927
u102,4,-67218.586710206
u102,5,-64509.278979223
u102,6,-67744.087699318
u102,7,-54260.73140631
u102,8,-47269.835516847
u102,9,-43733.443422791
u102,10,-39251.30109016
u102,11,-37425.37985287
u102,12,-31718.138221621
u102,13,-29364.110159067
u102,14,-26525.241125693
u102,15,-20460.264371405
u102,16,-23008.606231481
u102,17,-15152.604150749
u102,18,-11565.352252491
u102,19,-10333.341637584
u102,20,-9181.9274182768
u102,21,-9074.3076407365
u102,22,-8517.8763587783
u102,23,-7835.6882186001
u102,24,-7282.6378250535
u102,25,-7072.1950071373
u102,26,-7267.5570343021
u102,27,-6855.6505035743
u102,28,-7291.4775817126
u102,29,-7236.1735516882
u102,30,-6877.6586464905
u102,31,-7096.6384873175
u102,32,-6384.8379628516
u102,33,-6394.2990815672
u102,34,-6035.0221184473
u102,35,-5868.1494343536
u102,36,-5457.7425693545
u102,37,-5694.4400625961
u102,38,-5137.1726099254
u102,39,-4887.8160291811
u102,40,-4319.3541915085
u102,41,-4019.040420472
u102,42,-3945.9480493363
u102,43,-3370.5926943726
u102,44,-3025.7150653624
u102,45,-2671.1767183074
u102,46,-2315.7683386597
u102,47,-1962.9829664383
u102,48,-1648.4182646963
u102,49,-1369.3278015305
u102,50,-1109.3544215457
u102,51,-845.09451652883
u102,52,-658.4414012171
u102,53,-495.62566242274
u102,54,-354.30406181346
u102,55,-255.08920076356
u102,56,0
u102,57,0
u102,58,0
u102,59,0
u102,60,0
u103,0,0
u103,1,-22564.5363547
u103,2,-15718.034874673
u103,3,-7093.6046265434
u103,4,-5220.5081339331
u103,5,-5088.3098603804
u103,6,-4283.9668760746
u103,7,-5691.714535514
u103,8,-9033.4707320732
u103,9,-5434.6285476708
u103,10,-4954.560676795
u103,11,-5386.1035289509
u103,12,-5208.4901028036
u103,13,-5293.9236716387
u103,14,-3729.6141672048
u103,15,-3156.3411675246
u103,16,-2690.0856523657
u103,17,-4000.2660211326
u103,18,-4171.8796086722
u103,19,-1429.0188861329
u103,20,-1628.3878090016
u103,21,-1081.005758143
u103,22,-610.19607633007
u103,23,-621.68644308889
u103,24,-215.42972012855
u103,25,-264.35066043921
u103,26,-261.35618299159
u103,27,-688.3905925474
u103,28,-301.64911895077
u103,29,-288.65918463726
u103,30,-400.86756922971
u103,31,-424.93437218213
u103,32,-335.57746042951
u103,33,-426.66692310365
u103,34,-412.07667527778
u103,35,-552.02847532815
u103,36,-509.11608111967
u103,37,-861.2505522094
u103,38,-620.39995080976
u103,39,-784.01023161696
u103,40,-714.4167491865
u103,41,-761.32024240692
u103,42,-872.42692933275
u103,43,-756.34684479397
u103,44,-760.52157124321
u103,45,-748.29344394578
u103,46,-721.31401304552
u103,47,-704.54439496391
u103,48,-691.34118051168
u103,49,-668.13994531527
u103,50,-604.91353745307
u103,51,-558.64712949342
u103,52,-504.15222354865
u103,53,-463.80999604773
u103,54,-364.60143714865
u103,55,-309.86056618332
u103,56,-229.15891131617
u103,57,-144.49300044883
u103,58,-89.783285643329
u103,59,-61.751268680168
u103,60,-185.27202372915
u104,0,0
u104,1,-26629.08202886
u104,2,-21477.338319374
u104,3,-17500.160615996
u104,4,-23632.781156615
u104,5,-39022.681762071
u104,6,-21267.56456278
u104,7,-16108.17795793
u104,8,-8248.538825457
u104,9,-7416.5474137378
u104,10,-12192.760061519
u104,11,-16029.813809432
u104,12,-15864.493570678
u104,13,-22743.444263975
u104,14,-29131.468591214
u104,15,-35618.490472158
u104,16,-27845.885298015
u104,17,-19744.373937084
u104,18,-4050.9896912047
u104,19,-2927.0550940364
u104,20,-2712.7831541409
u104,21,-2747.8143371326
u104,22,-2628.3464275668
u104,23,-2400.7475047282
u104,24,-2802.0982853631
u104,25,-2682.4932882372
u104,26,-2120.4718445693
u104,27,-1624.2040584597
u104,28,-801.60035916493
u104,29,-578.89963476585
u104,30,-853.12138519972
u104,31,-467.21357253302
u104,32,-365.76167569994
u104,33,-393.83089446338
u104,34,-774.96837179864
u104,35,-620.25750630322
u104,36,-328.72421426196
u104,37,-270.495355162
u104,38,-100.30482444979
u104,39,-91.109807378416
u104,40,-112
u104,41,-79.27934137209
u104,42,-97.3
u104,43,-67.7
u104,44,-157
u104,45,-130.80919658455
u104,46,-55.7
u104,47,-53.8
u104,48,-69.6
u104,49,-36.5
u104,50,-50.3
u104,51,-69.8
u104,52,-49.8
u104,53,0
u104,54,0
u104,55,0
u104,56,0
u104,57,0
u104,58,0
u104,59,0
u104,60,0
u105,0,0
u105,1,23269.324668378
u105,2,22712.282380165
u105,3,22216.202692231
u105,4,21712.414068454
u105,5,21407.273290174
u105,6,21093.573411546
u105,7,20917.142132488
u105,8,20705.582159677
u105,9,20437.36061237
u105,10,20139.962126178
u105,11,19621.471201234
u105,12,19094.942025437
u105,13,18548.844380396
u105,14,18202.972887255
u105,15,17811.098587377
u105,16,17189.854870174
u105,17,16388.387414899
u105,18,15295.603920359
u105,19,14446.758126077
u105,20,13664.460977632
u105,21,12873.163678807
u105,22,12162.838781027
u105,23,11486.193454925
u105,24,10692.27865296
u105,25,9999.5886895052
u105,26,9307.72210292
u105,27,8577.806471223
u105,28,7956.7256997666
u105,29,7327.3214416225
u105,30,6706.5494810023
u105,31,6090.7979524997
u105,32,5495.7028936185
u105,33,4927.71093853
u105,34,4396.560477186
u105,35,3872.6217815025
u105,36,3387.4846159503
u105,37,2900.5841324629
u105,38,2453.3253711553
u105,39,2050
u105,40,1690
u105,41,0
u105,42,0
u105,43,0
u105,44,0
u105,45,0
u105,46,0
u105,47,0
u105,48,0
u105,49,0
u105,50,0
u105,51,0
u105,52,0
u105,53,0
u105,54,0
u105,55,0
u105,56,0
u105,57,0
u105,58,0
u105,59,0
u105,60,0
u106,0,0
u106,1,-4269.40748999
u106,2,-1110.4592060998
u106,3,-1929.3885601723
u106,4,-3853.2229585884
u106,5,-459.16267539437
u106,6,-234.62494690739
u106,7,-162.07609457479
u106,8,-486.43820096114
u106,9,-25.570528333819
u106,10,-83.355773750422
u106,11,-319.26082755415
u106,12,0
u106,13,0
u106,14,0
u106,15,0
u106,16,0
u106,17,0
u106,18,0
u106,19,0
u106,20,0
u106,21,0
u106,22,0
u106,23,0
u106,24,0
u106,25,0
u106,26,0
u106,27,0
u106,28,0
u106,29,0
u106,30,0
u106,31,0
u106,32,0
u106,33,0
u106,34,0
u106,35,0
u106,36,0
u106,37,0
u106,38,0
u106,39,0
u106,40,0
u106,41,0
u106,42,0
u106,43,0
u106,44,0
u106,45,0
u106,46,0
u106,47,0
u106,48,0
u106,49,0
u106,50,0
u106,51,0
u106,52,0
u106,53,0
u106,54,0
u106,55,0
u106,56,0
u106,57,0
u106,58,0
u106,59,0
u106,60,0
u107,0,0
u107,1,-1488.622867591
u107,2,-1370.2380626651
u107,3,-1255.8757820638
u107,4,-1145.9350257649
u107,5,-1037.2409521662
u107,6,-938.21756918652
u107,7,-847.57605574184
u107,8,-759.62581473232
u107,9,-676.38122013634
u107,10,-595.61467603495
u107,11,-517.39199027988
u107,12,-442.95916842211
u107,13,-374.68983424601
u107,14,-311.9320842399
u107,15,-253.48095619905
u107,16,-201.98517930636
u107,17,-157.43529942419
u107,18,-119.99752997498
u107,19,-88.86053334537
u107,20,-63.267823766944
u107,21,-44.176831723458
u107,22,-30.490735585185
u107,23,-21.180773454679
u107,24,-15.175343003296
u107,25,-10.645317666894
u107,26,-7.0513704757346
u107,27,-5.0986662931791
u107,28,-4.5358108051094
u107,29,-4.1444472979408
u107,30,-3.8102817711888
u107,31,-3.4923934671888
u107,32,-3.1709999417646
u107,33,-2.8385646637857
u107,34,-2.4963476900353
u107,35,0
u107,36,0
u107,37,0
u107,38,0
u107,39,0
u107,40,0
u107,41,0
u107,42,0
u107,43,0
u107,44,0
u107,45,0
u107,46,0
u107,47,0
u107,48,0
u107,49,0
u107,50,0
u107,51,0
u107,52,0
u107,53,0
u107,54,0
u107,55,0
u107,56,0
u107,57,0
u107,58,0
u107,59,0
u107,60,0
u108,0,0
u108,1,-1793.07433147
u108,2,-1547.0736881078
u108,3,-1327.5011539661
u108,4,-1165.9783303958
u108,5,-1046.7455284248
u108,6,-914.09423243812
u108,7,-808.45815405362
u108,8,-716.54559094394
u108,9,-641.73917021473
u108,10,-584.61749902163
u108,11,-538.67716013327
u108,12,-502.24666806231
u108,13,-456.37851831861
u108,14,-385.08408321884
u108,15,-350.91834062495
u108,16,-322.44160141799
u108,17,-290.42543063303
u108,18,-265.15703531133
u108,19,-242.64125877953
u108,20,-220.94148751532
u108,21,-200.17647291881
