,PLAN,ISIN,VALOR,CUPON,FEC_VTO,NOM,MATURITY,YRS_TO_MAT
0,u101,GEN_CORP_BOND_2023,Generic corporate bond with maturity 2023,5,2023,146493,2023,3
1,u101,GEN_CORP_BOND_2024,Generic corporate bond with maturity 2024,5,2024,245400,2024,4
2,u101,CASH,Maintain Cash allocation,5,2021,2808947,2021,1
3,u101,GEN_CORP_BOND_2022,Generic corporate bond with maturity 2022,5,2022,5124263,2022,2
0,u102,CASH,Maintain Cash allocation,5,2021,39748451,2021,1
1,u102,GEN_CORP_BOND_2028,Generic corporate bond with maturity 2028,5,2028,33947969,2028,8
2,u102,GEN_CORP_BOND_2030,Generic corporate bond with maturity 2030,5,2030,30697101,2030,10
3,u102,GEN_CORP_BOND_2027,Generic corporate bond with maturity 2027,5,2027,26544928,2027,7
4,u102,GEN_CORP_BOND_2026,Generic corporate bond with maturity 2026,5,2026,25218995,2026,6
0,u103,CASH,Maintain Cash allocation,5,2021,13105616,2021,1
1,u103,GEN_CORP_BOND_2033,Generic corporate bond with maturity 2033,5,2033,4584913,2033,13
2,u103,GEN_CORP_BOND_2031,Generic corporate bond with maturity 2031,5,2031,4164823,2031,11
0,u104,CASH,Maintain Cash allocation,5,2021,15788862,2021,1
1,u104,GEN_CORP_BOND_2022,Generic corporate bond with maturity 2022,5,2022,10502868,2022,2
2,u104,GEN_CORP_BOND_2024,Generic corporate bond with maturity 2024,5,2024,8274892,2024,4
3,u104,GEN_CORP_BOND_2025,Generic corporate bond with maturity 2025,5,2025,7537283,2025,5
4,u104,GEN_CORP_BOND_2023,Generic corporate bond with maturity 2023,5,2023,5825690,2023,3
0,u105,GEN_CORP_BOND_2048,Generic corporate bond with maturity 2048,5,2048,8029025,2048,28
0,u108,GEN_CORP_BOND_2022,Generic corporate bond with maturity 2022,5,2022,1475623,2022,2
1,u108,GEN_CORP_BOND_2025,Generic corporate bond with maturity 2025,5,2025,987245,2025,5
2,u108,GEN_CORP_BOND_2027,Generic corporate bond with maturity 2027,5,2027,778458,2027,7
3,u108,GEN_CORP_BOND_2023,Generic corporate bond with maturity 2023,5,2023,756051,2023,3
4,u108,GEN_CORP_BOND_2028,Generic corporate bond with maturity 2028,5,2028,686545,2028,8
0,u109,GEN_CORP_BOND_2023,Generic corporate bond with maturity 2023,5,2023,10537755,2023,3
1,u109,GEN_CORP_BOND_2024,Generic corporate bond with maturity 2024,5,2024,6173384,2024,4
2,u109,GEN_CORP_BOND_2035,Generic corporate bond with maturity 2035,5,2035,5997056,2035,15
3,u109,GEN_CORP_BOND_2038,Generic corporate bond with maturity 2038,5,2038,5985587,2038,18
4,u109,GEN_CORP_BOND_2026,Generic corporate bond with maturity 2026,5,2026,5521934,2026,6
0,u110,GEN_CORP_BOND_2024,Generic corporate bond with maturity 2024,5,2024,20146265,2024,4
1,u110,GEN_CORP_BOND_2023,Generic corporate bond with maturity 2023,5,2023,14014611,2023,3
2,u110,GEN_CORP_BOND_2022,Generic corporate bond with maturity 2022,5,2022,13711544,2022,2
3,u110,GEN_CORP_BOND_2035,Generic corporate bond with maturity 2035,5,2035,10783517,2035,15
4,u110,GEN_CORP_BOND_2038,Generic corporate bond with maturity 2038,5,2038,8265844,2038,18
