,PLAN,ISIN,VALOR,CUPON,FEC_VTO,NOM,MATURITY,YRS_TO_MAT
0,u101,ES0282102005,"UNIVERSIDAD DE VALENCIA  6,6%  15/12/2022",6.6,12/15/2022,3005060.5,2022,2
3,u101,FR0000570996,FRANCE O.A.T. STRIP  0%  25/04/2021,0.0,4/25/2021,5100000.0,2021,1
2,u101,IT0001247342,BUONI POLIENNALI STRIP  0%  01/11/2024,0.0,11/1/2024,400000.0,2024,4
43,u102,XS0083662923,EUROPEAN BK RECON & DEV  0%  04/02/2048,0.0,2/4/2048,105826150.0,2048,28
21,u102,ES00000121S7,"ESTADO4,7 07/41",4.7,7/30/2041,84700000.0,2041,21
14,u102,ES0000011868,ESTADO6%E/01-29,6.0,1/31/2029,34627760.0,2029,9
59,u103,ES0000011868,ESTADO6%E/01-29,6.0,1/31/2029,7456133.0,2029,9
61,u103,ES0312342019,"AYTCED 3,75%",3.75,6/30/2025,6400000.0,2025,5
77,u103,DE0001345908,EUROPEAN INVESTMENT BANK  0%  05/11/2026,0.0,11/5/2026,8500000.0,2026,6
159,u104,ES00000120O8,BON Y OBLI EST PRINCIPAL  0%  30/07/2040,0.0,7/30/2040,14000000.0,2040,20
156,u104,XS0083662923,EUROPEAN BK RECON & DEV  0%  04/02/2048,0.0,2/4/2048,16531785.0,2048,28
139,u104,ES0000012E69,"SPGB 1,85 30/07/2035",1.85,7/30/2035,19958000.0,2035,15
201,u105,XS1586146851,SOCGEN IV 01/04/22,0.35,4/1/2022,4000000.0,2022,2
184,u105,XS0999667263,"TKAAV 3,125 03/12/21",3.13,12/3/2021,6497000.0,2021,1
189,u105,ES0205032008,"FERRO 2,5 15/07/2024",2.5,7/15/2024,4400000.0,2024,4
218,u108,,Fiduciary depositJP_MORGAN31.12.2031,0.0,12/31/2031,4230791.0,2031,11
223,u108,XS1557095459,"DTEL_FIN 0,375% 30/10/2021",0.38,10/30/2021,2455000.0,2021,1
224,u108,ES0000012742,BON Y OBLIG ESTADO STRIP  0%  30/07/2029,0.0,7/30/2029,104000.0,2029,9
227,u109,ES0000012932,"ESTADO 4,20% 01/37",4.2,1/31/2037,30800000.0,2037,17
271,u109,IT0003268833,BUONI POLIENNALI STRIP  0%  01/08/2025,0.0,8/1/2025,14500000.0,2025,5
268,u109,XS0305575572,RBS IV 06/22,0.0,6/14/2022,15000000.0,2022,2
274,u110,ES0000012932,"ESTADO 4,20% 01/37",4.2,1/31/2037,45800000.0,2037,17
275,u110,ES0414970246,"CAIXAB3,625 01/21",3.63,1/18/2021,16050000.0,2021,1
296,u110,ES0413900160,"BSCH 4,625% 04/05/2027",4.63,5/4/2027,26700000.0,2027,7
455,u120,IT0004889033,"BTPS 4,75% 01/09/2028",4.75,9/1/2028,4400000.0,2028,8
484,u120,ES00000120O8,BON Y OBLI EST PRINCIPAL  0%  30/07/2040,0.0,7/30/2040,5300000.0,2040,20
459,u120,FR0011225143,"EDF 4,125 25/03/27",4.13,3/25/2027,3000000.0,2027,7
504,u121,XS1148073205,repsol 2.25% 10/12/2026,2.25,12/10/2026,3600000.0,2026,6
581,u121,ES00000120O8,BON Y OBLI EST PRINCIPAL  0%  30/07/2040,0.0,7/30/2040,8000000.0,2040,20
503,u121,IT0004889033,"BTPS 4,75% 01/09/2028",4.75,9/1/2028,4500000.0,2028,8
631,u125,ES00000124W3,"SPGB 3,8% 30/04/2024",3.8,4/30/2024,39000000.0,2024,4
597,u125,ES00000122E5,"ESTADO4,65 0725",4.65,7/30/2025,26900000.0,2025,5
