,PLAN,YEAR,CF_ASSET,CF_LIAB,CF_CUM_ASSET,CF_CUM_LIAB,COUPON,PRINCIPAL,GAP,CF_CUM
0,u101,2021,3225202.15,2489386.7109970003,3225202.15,2489386.7109970003,416255.15,2808947.0,735815.4390029996,735815.4390029996
1,u101,2022,8400070.8,1079130.2546031,11625272.950000001,3568516.9656001003,275807.80000000005,8124263.0,7320940.545396901,8056755.984399901
2,u101,2023,731087.65,418506.21078713,12356360.600000001,3987023.1763872304,19594.65,711493.0,312581.43921287,8369337.423612772
3,u101,2024,257670.0,154599.64385773998,12614030.600000001,4141622.8202449703,12270.0,245400.0,103070.35614226002,8472407.779755032
4,u102,2021,79843870.28965001,78094564.338698,79843870.28965001,78094564.338698,24186877.28965,55656993.0,1749305.9509520084,1749305.9509520084
5,u102,2022,101420208.64840001,76695176.932098,181264078.93805003,154789741.270796,22015208.6484,79405000.0,24725031.716302007,26474337.66725403
6,u102,2023,63868132.1484,64192427.397927,245132211.08645004,218982168.668723,20046132.148399998,43822000.0,-324295.2495269999,26150042.417727053
7,u102,2024,104566970.14840001,67218586.710206,349699181.23485005,286200755.378929,18806132.1484,85760838.0,37348383.43819401,63498425.85592103
8,u102,2025,91634147.14840001,64509278.979223,441333328.38325006,350710034.35815203,14636132.1484,76998015.0,27124868.16917701,90623294.02509803
9,u102,2026,67505971.14840001,67744087.69931799,508839299.53165007,418454122.05747,13464132.148400001,54041839.0,-238116.55091798306,90385177.47418004
10,u102,2027,52761665.398399994,54260731.40631,561600964.93005,472714853.46378005,12026182.398400001,40735483.0,-1499066.0079100057,88886111.46626997
11,u102,2028,44443522.5,47269835.516847,606044487.43005,519984688.98062706,10495553.5,33947969.0,-2826313.0168469995,86059798.44942296
12,u102,2029,92198155.05,43733443.422791004,698242642.48005,563718132.4034181,8798155.05,83400000.0,48464711.62720899,134524510.0766319
13,u102,2030,36805256.05,39251301.09016,735047898.5300499,602969433.4935781,6108155.05,30697101.0,-2446045.0401600003,132078465.03647184
14,u102,2031,8573300.0,37425379.85287,743621198.5300499,640394813.3464481,4573300.0,4000000.0,-28852079.852870002,103226385.18360186
15,u102,2032,62803300.0,31718138.221621,806424498.5300499,672112951.5680691,4403300.0,58400000.0,31085161.778379,134311546.96198082
